"nest","Beach","Sample.Depth","d50","d10","I0","K"
"Jensen's","Sample","Egg Chamber",0.241751705309035,0.122314073536082,0.0732080832142304,7.54718808300097
"Jensen's","Sample","Top",0.22231434052884,0.116370100428525,0.0737073161754003,7.57929490713039
"Kingfisher","Sample","Egg Chamber",0.218843659706343,0.139919574143466,0.0737963759140625,7.46331794577775
"Kingfisher","Sample","Top",0.230142698342649,0.158041108880678,0.0738286933200858,7.43610843776717
"N121","East","Egg Chamber",0.145727413832521,0.0755775258907477,0.0641365395304446,5.64398885079688
"N121","East","Top",0.113892339542025,0.0757062748841546,0.0683582943913856,6.24556982957009
"N122A","West","Egg Chamber",0.199394516213055,0.100993833813775,0.0735456802268528,7.50992582607535
"N122A","West","Top",0.198252817234391,0.0988035859825201,0.072948887654852,7.39759422151854
"N124E","East","Egg Chamber",0.152488723894658,0.0779359626066698,0.0660869276410894,6.00249516549475
"N124E","East","Top",0.146720035312271,0.0786721680494616,0.0673215400845621,6.19337964789285
"N128E","East","Egg Chamber",0.126132581337388,0.0798434946729365,0.0712184636590342,6.80971280923625
"N128E","East","Top",0.120745419447845,0.0779126540198917,0.0698300466073064,6.53501259203994
"N129E","East","Egg Chamber",0.117857677451742,0.0769793797860441,0.0692035765439306,6.41111331062654
"N129E","East","Top",0.111339231035169,0.076427409878561,0.0695663748601124,6.4501797426228
"N130A","West","Egg Chamber",0.540007864305748,0.158214586297172,0.0715516169992415,8.54962424187521
"N130A","West","Top",0.223726267616338,0.097888520270994,0.0725526016096416,7.44935068737344
"N130E","East","Egg Chamber",0.108307191011803,0.0734690130968707,0.0681706802857098,6.19677152469116
"N130E","East","Top",0.959336087480659,0.151424185389613,0.0559394501251395,7.53594462905977
"N136E","East","Egg Chamber",0.108395986111921,0.0763478761189016,0.069942781595951,6.50612471745011
"N136E","East","Top",0.112940682769897,0.0773536679160811,0.0703701598203046,6.60135334500345
"N138E","East","Egg Chamber",0.190529358469904,0.0778623505952168,0.0635234769922343,5.72132053021509
"N138E","East","Top",0.110634680032551,0.0761946512058035,0.0694117167105023,6.41973125970956
"N232","West","Egg Chamber",0.149695286960558,0.079733668554407,0.0681161591196394,6.34548994602163
"N232","West","Top",0.170249212091645,0.0845284056664088,0.0709226991127795,6.94017913282306
"N244","West","Egg Chamber",0.190536647674577,0.084334084114752,0.0691527643564838,6.70327349387203
"N244","West","Top",0.163083136556806,0.0812987820378465,0.0685671975774254,6.48183537140936
"N245","West","Egg Chamber",0.118664544268474,0.0789541398526811,0.0713080219193795,6.79562400675201
"N245","West","Top",0.19185441398146,0.0892599073895905,0.0716786620732022,7.16573125517842
"N246","West","Egg Chamber",0.16906745246172,0.0793113851879472,0.0653423858174572,5.93827813531972
"N246","West","Top",0.20671157245555,0.0881067912045298,0.0675616116762722,6.46622575926818
"N247","West","Egg Chamber",0.15870301844911,0.0819096226488635,0.0695937230315039,6.64844565750081
"N247","West","Top",0.135464658860351,0.077743675803455,0.0676666749632212,6.20899574159775
"N248","West","Egg Chamber",0.551597585969144,0.155699489782486,0.0724131195362649,8.8075393292162
"N248","West","Top",0.316587877719972,0.113448462291214,0.0704979212280299,7.4253312076407
"N262","West","Egg Chamber",0.220648181864082,0.0924896670501776,0.0707314950367307,7.10638751670815
"N262","West","Top",0.179978784118982,0.0890929224315769,0.0719957932367216,7.17044494270432
"N276","West","Egg Chamber",0.141101251280544,0.081536867265466,0.0710902121794067,6.84808533501739
"N276","West","Top",0.462266612001423,0.0988374932526674,0.0691318996261997,7.95339644655058
"N284","West","Egg Chamber",0.164906066264789,0.0850475733389824,0.0720178826932733,7.12156024867227
"N284","West","Top",0.198333986627471,0.0942229243850463,0.0727086178825124,7.37334797196702
"N287","West","Egg Chamber",0.69153807486146,0.128498979409913,0.0691133489747083,8.99660322651541
"N287","West","Top",0.28886184952257,0.0970113478595507,0.0693475288395567,7.14649234047951
"N328","West","Egg Chamber",0.390216825310737,0.119770268118691,0.0705289973101863,7.76589973185425
"N328","West","Top",0.219162892719766,0.102479600495576,0.0712574748124096,7.15242440074964
"N364","West","Egg Chamber",0.40388299846326,0.10954084778901,0.0711073285500783,8.00396309410753
"N364","West","Top",0.321495442212894,0.113931719561919,0.0713964669263083,7.62495239919073
"N372","West","Egg Chamber",0.538758515880078,0.154666067278108,0.0721167971720383,8.68141647825473
"N372","West","Top",0.241047905987964,0.10001222706374,0.0733007997419094,7.67304272783614
"N375","West","Egg Chamber",0.115898691926062,0.0776867824349194,0.0702933570347629,6.59928204887321
"N375","West","Top",0.152649461599803,0.0837002578007515,0.0720405037800507,7.07351085892058
"N37E","East","Egg Chamber",0.121025878225923,0.0679767729948323,0.0648287495083731,5.68942530036596
"N37E","East","Top",0.132916368703659,0.0765418756495577,0.0666774923901115,6.02656572073515
"N384","West","Egg Chamber",0.115040944163944,0.075993340656449,0.0685103697197334,6.27689659203135
"N384","West","Top",0.264677387855077,0.0876641168339097,0.0703407835583894,7.26696360276225
"N433","West","Egg Chamber",0.224890896067825,0.101801550290138,0.0726667545126382,7.45829726452191
"N433","West","Top",0.1954000529318,0.0965763008415758,0.073122790370582,7.42866764991287
"N439","West","Egg Chamber",0.132428896795581,0.0837810841817068,0.0747199856565606,7.49619465477776
"N439","West","Top",0.164879025776693,0.0848543198996766,0.0714197512383553,7.00771573742591
"N46A","West","Egg Chamber",0.45670980718016,0.129412220741517,0.07218046162945,8.3956546749571
"N46A","West","Top",0.189233304239351,0.09087303234632,0.0734613898658692,7.49307861834593
"N476","West","Egg Chamber",0.251037194020526,0.119121759078659,0.0709113739030062,7.15911850755909
"N476","West","Top",0.250260548991067,0.100485909951978,0.0703452048521988,7.1360438571543
"N477","West","Egg Chamber",0.148288080583598,0.0806049411992912,0.0692110632213044,6.53543215489924
"N477","West","Top",0.241599433067335,0.0897031041273919,0.0703914736940249,7.15518726022392
"N479","West","Egg Chamber",0.330803980952842,0.106596163110954,0.0704068191123986,7.5111742644034
"N479","West","Top",0.203493694320769,0.0923387500999579,0.0719021923972925,7.25044010511141
"N480","West","Egg Chamber",0.179819021939702,0.0884136537188317,0.0718761940788856,7.14987339677992
"N480","West","Top",0.252975436345045,0.106491495593265,0.0724890569955634,7.53869803202351
"N495","West","Egg Chamber",0.125578248670531,0.0772832531265957,0.0684507384957817,6.3079285883525
"N495","West","Top",0.148456454351057,0.0821947892817199,0.0709015267397807,6.84407527060366
"N496","West","Egg Chamber",0.197731845002362,0.0883502917842397,0.0715934351822332,7.18204203707974
"N496","West","Top",0.138446937512768,0.0810427071832883,0.0708878144148117,6.79978621706432
"N507","West","Egg Chamber",0.127108025884913,0.08202887548688,0.073521643046861,7.24414175895334
"N507","West","Top",0.1402960014086,0.0828594319290435,0.0726383743456608,7.13310029773337
"N53A","West","Egg Chamber",0.229464729701644,0.11557671715217,0.073953603924364,7.66787259110481
"N53A","West","Top",0.199345605828941,0.103657461247391,0.0736913493451921,7.52531914026903
"N56","Captiva","Egg Chamber",0.215832062260192,0.107293582991598,0.0727126833990744,7.39583442910514
"N56","Captiva","Top",0.202341496539968,0.101300163818805,0.073709191757256,7.55535240496319
"N62","Captiva","Egg Chamber",0.246765139830227,0.14685581119136,0.0715073850257034,7.11978478375361
"N62","Captiva","Top",0.25087685023417,0.124562134903021,0.0714279440493555,7.23195634414537
"N65","Captiva","Egg Chamber",0.446922644794646,0.169899468573306,0.0723312348697808,8.16613539179316
"N65","Captiva","Top",0.199406324772087,0.100953713956207,0.0738701678638012,7.57444391270629
"N66","Captiva","Egg Chamber",0.380993342095994,0.157651437825365,0.0710237582345665,7.62928310074764
"N66","Captiva","Top",0.194988109462295,0.0972000447153292,0.0716603383019043,7.13902402411969
"N69","Captiva","Egg Chamber",0.728957567049518,0.157409684454057,0.0681086563350502,8.82612100150828
"N69","Captiva","Top",0.394333690139918,0.103743841356915,0.0675758504673582,7.28144938619307
"N69A","West","Egg Chamber",0.161918570556366,0.0864397761576495,0.0741923195530619,7.52447576086902
"N69A","West","Top",0.210800969684742,0.0908830620954417,0.074452039197496,7.79805060948142
"N73E","East","Egg Chamber",0.110572704372727,0.0652166092062498,0.0658294527813638,5.82931821466112
"N73E","East","Top",0.146561094948634,0.079757051276033,0.0685025417754583,6.40145974907126
"N75E","East","Egg Chamber",0.117562650851215,0.0772962551761433,0.0696034432994778,6.48152267450186
"N75E","East","Top",0.108260260462724,0.0758680875645661,0.0694155316210462,6.41107715089069
"N80","Captiva","Egg Chamber",0.656902711037916,0.154158310336679,0.0694159688331913,8.73791252012937
"N80","Captiva","Top",0.29510455506562,0.112895241142676,0.0714585875436996,7.51153115771859
"N80E","East","Egg Chamber",0.313884352514039,0.0816401278808793,0.064708222584417,6.46395162599161
"N80E","East","Top",0.224163623296266,0.0809364937899775,0.0653808053827278,6.18239209006203
"N82","Captiva","Egg Chamber",0.252736569741376,0.154127682553705,0.0740476702555558,7.6104895214501
"N82","Captiva","Top",0.24872028138542,0.116778501837378,0.0737919774845057,7.72583315153192
"N82E","East","Egg Chamber",0.108887956931618,0.0698118742462055,0.0673713120099846,6.07292187779136
"N82E","East","Top",0.115982327999191,0.0714140040732776,0.0665362194774846,5.94955445651566
"N83","Captiva","Egg Chamber",0.17917889367681,0.080945993972118,0.0668881160099482,6.25115634916185
"N83","Captiva","Top",0.182497999574706,0.0895449064998255,0.0717353255660957,7.13018556539115
"N84","Captiva","Egg Chamber",0.243259601118067,0.103549303354299,0.0731244878826483,7.63126296589572
"N84","Captiva","Top",0.196134413190599,0.0892540697050433,0.0717934475894257,7.20863541265902
"N93","Captiva","Egg Chamber",0.272323091722587,0.100183145080658,0.0697755091590169,7.13400922044988
"N93","Captiva","Top",0.203105955601682,0.0902035233223375,0.0710233204240155,7.08917842721767
"N94","Captiva","Egg Chamber",0.31162789289228,0.126865715056423,0.0715682744155176,7.54586180274843
"N94","Captiva","Top",0.17766145284071,0.0885556659233419,0.0720954411238189,7.18109740705698
"N97E","East","Egg Chamber",0.199211948198058,0.0828636490166091,0.0690302010845851,6.7277685350161
"N97E","East","Top",0.118538785147967,0.079698389549676,0.0721683563425897,6.95417696076823
"Turner ","Sample","Egg Chamber",0.220752089448827,0.151167111751114,0.0744962726519609,7.55548560752507
"Turner ","Sample","Top",0.208397444617568,0.125489617961721,0.0740480891173345,7.53268603891836
"Tween","Sample","Egg Chamber",0.214765532319625,0.0983191135460343,0.0715291385295484,7.20376554955704
"Tween","Sample","Top",0.267723207966208,0.153887248340799,0.0726819501466761,7.41579279390098
